order_date,sub_order_num,order_status,state,pin,gst_amount,meesho_price,shipping_charges_total,price
30-09-2022,115964435613_1,Exchange,Jammu & Kashmir,185151,62.44,1311,123,1418
01-10-2022,120234205854_1,Shipped,Kerala,671533,24.2,508,0,508
02-10-2022,173534645547_1,Delivered,Madhya Pradesh,452002,64.3,1350,108,1458
03-10-2022,498649084066_1,Return,Kerala,670604,71.44,1500,114,1614
04-10-2022,485706928032_1,Shipped,Andhra Pradesh,517520,23.48,493,0,493
05-10-2022,912010011757_1,Return,State Bank Of India,735211,64.3,1350,114,1464
06-10-2022,748208976472_1,rto,Jammu & Kashmir,180001,66.68,1400,94,1494
07-10-2022,684818289255_1,Return,Tamil Nadu,627855,64.3,1350,114,1464
08-10-2022,640125783153_1,Delivered,Gujarat,382415,71.44,1500,148,1648
09-10-2022,403153127441_1,Delivered,Uttar Pradesh,226016,87.96,1847,0,1847
10-10-2022,882312666682_1,Return,Uttar Pradesh,229128,71.52,1502,0,1502
11-10-2022,485570015946_1,rto,Madhya Pradesh,465674,71.44,1500,140,1640
12-10-2022,641300392975_1,Return,odisha,752022,64.3,1350,114,1464
13-10-2022,546528163157_1,Return,Telangana,500020,64.3,1350,114,1448
14-10-2022,363376800481_1,rto,West Bengal,711227,61.9,1300,114,1414
15-10-2022,848334441754_1,Delivered,Punjab,143101,99.86,2097,0,2101
16-10-2022,354258590368_1,Delivered,Assam,782447,64.3,1350,125,1475
17-10-2022,967475471717_1,Delivered,Telangana,504293,94.12,617,0,605
18-10-2022,261363877240_1,rto,Uttar Pradesh,247001,71.44,1500,110,1610
19-10-2022,236795271202_1,Return,Others,600120,64.3,1350,114,1464
20-10-2022,755828660648_1,Shipped,Kerala,671121,24.72,519,0,519
21-10-2022,507304078237_1,Return,Madhya Pradesh,472118,62.44,1311,114,1409
22-10-2022,963799194113_1,Shipped,Uttar Pradesh,285123,24.2,508,0,502
23-10-2022,248244279818_1,Return,Gujarat,395003,66.68,1400,101,1501
24-10-2022,851847662041_1,Return,Maharashtra,400065,64.3,1350,105,1439
